Mixture,Inh_L4-6_PVALB_SULF1,Exc_L2-3_LINC00507_FREM3,Oligo_L1-6_OPALIN,Exc_L5-6_THEMIS_C1QL3,Exc_L3-5_RORB_ESR1,Exc_L3-4_RORB_CARM1P1,Inh_L2-4_PVALB_WFDC2,Exc_L4-6_RORB_SEMA3E,Exc_L4-5_RORB_FOLH1B,Inh_L1_SST_CHRNA4,Exc_L5-6_FEZF2_ABO,Inh_L1-4_LAMP5_LCP2,Exc_L2_LAMP5_LTK,Inh_L1-2_GAD1_MC4R,Inh_L1-2_SST_BAGE2,Exc_L2-4_LINC00507_GLP2R,Inh_L1-2_PAX6_CDH12,Inh_L2-5_VIP_SERPINF1,Exc_L3-5_RORB_COL22A1,Inh_L2-6_LAMP5_CA1,Inh_L1_SST_NMBR,Exc_L4-5_RORB_DAPK2,Astro_L1-6_FGFR3_SLC14A1,OPC_L1-6_PDGFRA,Exc_L3-5_RORB_TWIST2,Exc_L5-6_FEZF2_EFTUD1P1,Inh_L2-5_PVALB_SCUBE3,Inh_L1-3_SST_CALB1,no_class,Inh_L1-3_VIP_CHRM2,Inh_L1-3_VIP_ADAMTSL1,Exc_L4-6_FEZF2_IL26,Exc_L5-6_RORB_TTC12,Inh_L3-6_VIP_HS3ST3A1,Micro_L1-3_TYROBP,Inh_L4-6_SST_B3GAT2,Inh_L5-6_SST_MIR548F2,Inh_L1-3_VIP_GGH,Inh_L3-5_SST_ADGRG6,Inh_L4-5_SST_STK32A,Exc_L5-6_THEMIS_CRABP1,Exc_L5-6_THEMIS_FGF10,Exc_L3-5_RORB_FILIP1L,Exc_L4-6_RORB_C1R,Inh_L5-6_SST_TH,Astro_L1-2_FGFR3_GFAP,Inh_L2-4_VIP_CBLN1,Inh_L2-6_VIP_QPCT,Exc_L5-6_SLC17A7_IL15,Inh_L2-5_VIP_TYR,Inh_L4-5_PVALB_MEPE,Inh_L1-4_VIP_OPRM1,Inh_L1-2_VIP_PCDH20,Exc_L5-6_THEMIS_DCSTAMP,Inh_L4-6_SST_GXYLT2,Inh_L5-6_SST_KLHDC8A,Inh_L2-4_VIP_SPAG17,Inh_L3-6_SST_HPGD,Inh_L1-2_LAMP5_DBP,Inh_L2-3_VIP_CASC6,Inh_L5-6_SST_NPM1P10,Inh_L5-6_GAD1_GLP1R,Inh_L1-2_VIP_LBH,Inh_L5-6_PVALB_LGR5,Inh_L1-3_PAX6_SYT6,Inh_L1-4_VIP_CHRNA6,Inh_L2-4_SST_FRZB,Inh_L1-3_VIP_CCDC184,Inh_L1-2_PAX6_TNFAIP8L3,Inh_L1-4_VIP_PENK,Inh_L3-6_SST_NPY,Exc_L4-5_FEZF2_SCN4B,Exc_L6_FEZF2_SCUBE1,Exc_L6_FEZF2_OR2T8,Inh_L1-2_VIP_TSPAN12,P-value,Correlation,RMSE
10021_20,0,0.19220276890745,0,0.0460923591651934,0,0.0179784071184873,0.00791015884095962,0,0.0767504972181438,0.00658149937035463,0.0224400294603778,0.0161049768237979,0,0,0,0,0,0.00137109771329391,0.0802408228393439,0,0,0.0176020622618153,0.00889072662366908,0.00231080010063379,0,0.020329413988535,0,0.00727585993589101,0.0286279384684845,0.0124714086484986,0.0115246214935797,0.00725241030660761,0.0166983140739642,0,0.00157745152721496,0,0.0234972073788598,0.00758051465966824,0,0,0,0.0522186610384209,0,0.0068733970742901,0,0,0.0130799083408406,0.00680575270256782,0.0148365364887436,0.0252189349404368,0.0127407448552754,0.00131373793238416,0.0149469541670144,0.00266989811596689,0.0121863802936971,0.0174056123378046,0.00403463815989548,0.0345985594104047,0,0.0077928036846775,0,0.0104814570771568,0.00245529791762863,0.00393827106662533,0.0226610390555701,0,0.0112400907865785,0.00290235728743017,0.00769263684018975,0,0.000783473487140392,0.0535477629285874,0.00883639023070592,0.0154273568551434,0,0,0.726506015928804,0.809430481565888
10021_21,0,0.143308778736204,0,0.10672504883923,0,0,0.00891107757579571,0,0.120070380804375,0.00440632474767884,0.0306966500389881,0.0280796276866684,0,0,0,0,0,0,0.0361081253188327,0,0,0.00269812054596009,0.00643340455927287,0,0,0.0031055889008961,0,0.012530163269072,0.0436732279586737,0.0123373625690414,0.0158768507715064,0.0204223735979367,0.00954186817375448,0,0,0,0.0281282051808896,0,0,0,0.0150628046888509,0.0473283257022779,0,0.0130116147441627,0.00141976483059628,0,0.00557469553031712,0.00407572573741291,0.0117808537496549,0.0339592035697277,0.00839684319017516,0,0.00581449296347081,0.00895214630291984,0.00709783939009363,0.005157932115992,0.00438669776512111,0.02216083035017,0.00120631080535168,0.00739035764676858,0.00148418439778422,0.00973866083633644,0.00601029113586277,0.00760857740716437,0.0291384160671452,0,0,0.0212895677052005,0.0153834230579737,0,0.000461906506664859,0.035629726477417,0.0148644308673961,0.0218729309725892,0.000688266210626252,0,0.688660015856501,0.820495296032318
10021_22,0,0.153326155210786,0,0.112398027568114,0,0,0.0213128112114144,0,0.0902706299889685,0.00533017676949631,0.0158106502138258,0.0261169715462599,0.000617887948834594,0,0,0,0,0,0.0474551036053274,0,0,0.00406977083710905,0.0099133424328868,0.00210194386005806,0,0.0117191113392752,0.00173848615149527,0,0.0378415294052222,0.00740950742418263,0.00835614863346711,0.0180510451111926,0,0.00332423595035671,0.000225979871017658,0,0.0287370868932465,0.0017628623733172,0,0,0.00475945768473857,0.0512512643984063,0,0.0150600975015338,0.00692740131783913,0,0.0170749490209952,0,0.00912211111745585,0.0217847555016215,0.0112863531910315,0,0.00758624649745717,0.00810307389691707,0.00753726020910441,0.0140087703876732,0.00185798601752712,0.0440620683918623,0,0.00769383229116815,0.00311588491565384,0.00775622747897864,0.0110713140249499,0.00643340204518132,0.0253664744901155,0.00338326495358784,0.000965398776027231,0.0194497971748645,0.0145350609343655,0,0.00298646764444109,0.0284266040431415,0.0160935835204551,0.0212805670923905,0.0031308611346622,0,0.768585898298464,0.790504703929113
10021_23,0,0.178155933516024,0,0.125301153057122,0,0.000157365612681731,0.0168741081090793,0,0.0885407171368253,0.00174841032855125,0.0199208759418904,0.0137168800422262,0,0,0,0,0,0,0.0459380194135704,0,0.000267149234709457,0,0.011674358934589,0.00167801590322961,0,0.0144699804695508,0,0,0.0171336757497733,0,0.00962787337843076,0.0136243612824548,0,0.0134293431719255,0,0,0.0280305031105982,0.00851580651408391,0.000992664208022194,0,0.0114625753214728,0.045900232224439,0,0.0121022486003965,0.00544204009043121,0,0.0188354442843908,0,0.0200218503030721,0.027499614531634,0.0125956252363352,0,0.00505446134361209,0.000425737765673961,0.00944645782683159,0.0128587577329587,0,0.0464975784553832,0.00036021505128388,0.00966904306967425,0,0.00862944208312981,0.00875016004392686,0.0041103499701303,0.0288656374181471,0.010621904910022,0,0.0149090461598361,0.0101475515567958,0,0.00617408015946342,0.0226439643219798,0.0121192291073834,0.0217386654756122,0.00332089184064609,0,0.779455358721537,0.786172847003025
10021_24,0,0.142007704813127,0,0.107107997655115,0,0,0.00996898941614289,0,0.060603802656356,0.00128336574266295,0.0131986928800005,0.00515042355417758,0.0571428336909389,0,0.00346085047700854,0,0,0,0.0494835027830056,0,0.00259940511327676,0.00110678908865992,0.00458534395752366,0.00161939251803622,0,0.0134864407495334,0,0,0.0536462485545158,0.00290758858290652,0.0168074624834326,0.019191852425061,0.000693405467218497,0.0160952059107083,0,0,0.0375503546688266,0.0113565763885769,0,0.00603728430876878,0,0.0230412760090324,0,0.0406593581839419,0.00130981031116312,0,0.0135051282992443,0.00426271777739626,0.0207314805364436,0.0386683249016801,0.015120389075568,0,0,0.0142703132952063,0.0153750156934723,0.0138393663787802,0.0039111253359535,0.0182603690463664,0,0.0155985865444465,0.00232298588178479,0.0155124624124171,0,0,0.00383223223873611,0.0119597938192092,0.00618844079517228,0.00883463126631098,0.0158810177107816,0,0.000488738341571274,0.0235251144081218,0.017358847699374,0.0184509601522466,0,0,0.713197981466664,0.815270865450261
10021_525,0,0.162950765053484,0,0.0858917868055543,0,0,0.00461637290538314,0,0.0330213334030793,0.00288156868830315,0.0355699894140414,0.00489518164612668,0.0756609855839258,0,0.00525616513079402,0,0,0,0.0509214833137822,0,0.0149728794063382,0,0.00455402560818941,0.00126870359204533,0.00255278690159644,0,0,0.00263342856500986,0.0505097135592541,0.0136717610208895,0.0147464362548207,0.0234887900040329,0.0211709907303812,0.0193499311223425,0,0,0.0225848337291398,0.0040107120786344,0,0.000378140568896464,0.00776535590672837,0.0344454098390249,0.00165316040677662,0.0376964741037068,0.000546349961844712,0,0.0144444726020402,0.00133877263289593,0.013516362854568,0.0223654481234935,0.0123837497347008,0,0,0.00958787047976144,0.0247286633343972,0.0132128362152519,0.00605657181071698,0.0116547495921555,0,0.00490370751145216,0,0.0134725966173038,0.002368877097927,0.00407280183173788,0,0.014424707956183,0.00738245725596874,0.00780109681597908,0.0160567757724924,0,0.000723768324740537,0.0167282668077904,0.0207944291391259,0.0223155021851916,0,0,0.731836128078515,0.809370060181143
10021_526,0,0.182163211773661,0,0.096283073220797,0,0.00399443775189269,0.0216644757669742,0,0.0330177446214378,0,0.00137983894948189,0.0229994817710108,0,0,0,0,0,0.00439273122827804,0.0557824297433133,0,0.00925964571250673,0,0.0141629302425431,0.00625773284721438,0.000373563695937337,0.00873347631097609,0,0,0.0224815607876592,0.00627876136230628,0.0150881899972905,0.0180676154277823,0.0270881782499251,0.0228629012920112,0.00087584467956828,0,0.0191125344390906,0.0106742680805752,0,0,0.00852773997280096,0.0337250591937844,0,0.0293928719857303,0,0.00482242598849157,0.0168625767355081,0,0.0191272168882294,0.0080707504435625,0.0135589855740676,0,0.00898749817577867,0.00955932672906621,0,0.0281524891769172,0.00288869050815195,0.0512332586360405,0,5.34251103499611e-05,0.00991104603056693,0.0206295540006904,0.00244291358886005,0.0012809773555832,0.01811439555493,0.00950384183898657,0.00831428234022846,0.00823738146681464,0.0136684013233014,0,0.014520822025406,0.012046461101986,0.0192996432843259,0.0135289911615988,0.0105443458560088,0,0.819112152373204,0.762566545818022
10021_527,0,0.188062003040333,0,0.120330536149248,0,0.000856010856707308,0.0234926549428037,0,0.0627525771318412,0.00247698011793293,0.0359378406545007,0.0190803406816829,0,0,0,0,0,0.000780966617819213,0.0528548049122028,0,0,0,0.00886711692446627,0.00218040851294226,0,0.0139062428639153,0.00185945397122459,0.00170424653143432,0.0116842957569559,0.0120672983496118,0.0185786533808155,0.00893415282569812,0.0119628242872815,0.0123708436480793,0,0,0.022364132340208,0.00424480558805231,0,0.0024715304168667,0.0100306051186985,0.049400892165919,0,0.0189745065007155,0.00320229480625223,0,0.00768596232757548,0.00525855818622876,0.0177996106198827,0.0205683950313722,0.00574253563474919,0,0,0.0055448212183022,0.0213099271603964,0.0102036967377737,0.00320385783879119,0.0231166769462334,0,0.00872641034955235,0.00640081604275495,0.00524880811552912,0.0102494283875327,0.00433194459534027,0.00978576400003752,0.00652899108415861,0.011934184136602,0.0139737389100136,0.0121870442674899,0,0.000568133200537913,0.0364940196476862,0.0213067194176856,0.00894447617713261,0.00145646087243272,0,0.80238242125436,0.78056718679729
10021_528,0,0.234046311493789,0,0.104421705368387,0,0.00390261007385881,0.0142014024618858,0,0.0611621196452501,0.00160898596719879,0.0222019437550455,0.0196968979944628,0.010169623782015,0,0,0,0.00157047496652803,0,0.0545323033894878,0,0,0,0.0129878245298368,0.00580215361295871,0,0.0131622660529875,0.000888444745690836,0,0.015117122293292,0.00600067634368125,0.0210202837231703,0.0185450434949091,0.00908889371960262,0.00400456069376497,0.000477104978645563,0,0.0171737146145359,0.00760212675471801,0,0.00132071806718165,0,0.0432260244451811,0,0.0216590084913821,0.000490481226882132,0,0.0145428148317276,0.00412548799435902,0.0121151803645535,0.0171892546995872,0.0106141107231158,0,0.00308832284322391,0.00648968629354636,0.0150508253434203,0.0102181583957772,0,0.023142509028975,0,0.0068579133963464,0.00301897653135837,0.00881896604350363,0.00838384313672071,0.00660285043719284,0.00565770140836206,0.0075089906036513,0.00789956048243548,0.00881139035785531,0.0149580604480214,0,0.00125960316032247,0.0422862697738856,0.0180548899243159,0.0114620925284065,0.00576171456300647,0,0.805778563339618,0.782330334215831
10021_529,0,0.169900329555845,0,0.0541346026340979,0,0,0.00645549868209027,0,0.0430835621247935,0,0.0456292639342377,0.0134473462807474,0,0,0,0,0.00944211680551187,0.000976485093423127,0.0593363441271065,0,0.00502074807036846,0.00719826165038007,0.0136821907834439,0.00776522311969604,0,0.00862681336812923,0.00301004865247653,0.0142740356704494,0.022386606711545,0.00640405037897153,0.0103580778700448,0.0447241412238905,0.0149896392035965,0,0.000872826077053943,0.0109455134428641,0.0164903672012019,0.0175254541790692,0,0,0.0302671534620235,0.0267066419419657,0.00513589125153991,0.025633642794926,0.00092749456529035,0,0.0141349154920479,0.00481018866445352,0.0252441551650064,0.0171466483197718,0.0208005091105071,0.000780308639427251,0.00514724286257568,0,0.0229842519621518,0.00989214347142504,0.00292685956888133,0.0244904651597356,0,0.00170442279186835,0,0.0158662848835273,0,0.00848426087100708,0.00418105596401306,0,0,0.0121240160942918,0.0116640731418853,0,0.0032575421590591,0.0548385569802503,0.0185306150936446,0.0183763564861897,0.00726475626150043,0,0.828024742854746,0.772818073601061
