Mixture,Inh_L2-5_PVALB_SCUBE3,Exc_L2-3_LINC00507_FREM3,Exc_L3-4_RORB_CARM1P1,Exc_L3-5_RORB_FILIP1L,Inh_L1-3_SST_CALB1,Inh_L4-5_SST_STK32A,Exc_L5-6_THEMIS_C1QL3,Inh_L1-4_LAMP5_LCP2,Exc_L3-5_RORB_ESR1,Exc_L4-5_RORB_DAPK2,Inh_L4-6_SST_B3GAT2,Inh_L1-3_VIP_ADAMTSL1,Exc_L2-4_LINC00507_GLP2R,Exc_L3-5_RORB_COL22A1,Inh_L1_SST_NMBR,Inh_L2-4_VIP_CBLN1,Inh_L1-2_SST_BAGE2,Exc_L5-6_FEZF2_EFTUD1P1,Inh_L1-2_PAX6_CDH12,Exc_L5-6_FEZF2_ABO,Exc_L4-6_RORB_SEMA3E,Exc_L4-5_RORB_FOLH1B,OPC_L1-6_PDGFRA,Oligo_L1-6_OPALIN,Inh_L4-6_PVALB_SULF1,Exc_L4-6_RORB_C1R,Exc_L2_LAMP5_LTK,Inh_L2-4_PVALB_WFDC2,Inh_L1-3_VIP_GGH,Inh_L1-3_VIP_CHRM2,Exc_L4-6_FEZF2_IL26,Exc_L5-6_THEMIS_FGF10,Inh_L2-6_LAMP5_CA1,no_class,Exc_L5-6_SLC17A7_IL15,Astro_L1-6_FGFR3_SLC14A1,Exc_L5-6_THEMIS_CRABP1,Inh_L4-5_PVALB_MEPE,Inh_L3-6_VIP_HS3ST3A1,Inh_L1_SST_CHRNA4,Inh_L3-5_SST_ADGRG6,Exc_L5-6_RORB_TTC12,Exc_L6_FEZF2_SCUBE1,Inh_L5-6_PVALB_LGR5,Inh_L2-6_VIP_QPCT,Inh_L3-6_SST_HPGD,Inh_L2-3_VIP_CASC6,Inh_L1-2_VIP_PCDH20,Inh_L2-4_SST_FRZB,Exc_L3-5_RORB_TWIST2,Inh_L2-5_VIP_TYR,Inh_L1-4_VIP_PENK,Inh_L1-2_VIP_TSPAN12,Inh_L1-3_VIP_CCDC184,Inh_L1-2_GAD1_MC4R,Inh_L1-2_VIP_LBH,Inh_L2-5_VIP_SERPINF1,Micro_L1-3_TYROBP,Inh_L5-6_SST_NPM1P10,Inh_L4-6_SST_GXYLT2,Inh_L1-4_VIP_CHRNA6,Inh_L5-6_SST_MIR548F2,Inh_L5-6_SST_KLHDC8A,Inh_L5-6_GAD1_GLP1R,Exc_L5-6_THEMIS_DCSTAMP,Inh_L5-6_SST_TH,Exc_L4-5_FEZF2_SCN4B,Exc_L6_FEZF2_OR2T8,Inh_L1-4_VIP_OPRM1,Astro_L1-2_FGFR3_GFAP,Inh_L1-2_PAX6_TNFAIP8L3,Inh_L2-4_VIP_SPAG17,Inh_L3-6_SST_NPY,Inh_L1-3_PAX6_SYT6,Inh_L1-2_LAMP5_DBP,P-value,Correlation,RMSE
10021_20,0.00699724154758445,0.131726068284647,0.067928472075203,0,0,0,0.114398900566445,0.0124520557851171,0,0,0,0.0127801022493036,0,0.0537929488916269,0,0.0106042544530582,0,0.0514218627025099,0,0.0055825100733244,0,0.114048274314934,0.00109503945538409,0,0.00284347287882073,0.014613665060798,0.00864664774992391,0.00555148628417951,0,0.0160275539778117,0.0131805143462612,0.0329737219083269,0.00233171948624053,0.0168650966638036,0.0120978856135014,0.00824460614491872,0.000319834602771308,0.00608687269906996,0,0,0.0154028378954347,0.0113390473302463,0.0178112834207312,0.00228396178692892,0.00186384443295482,0.0389908554257351,0.00156951695970243,0.0138251861233385,0.0110004486599807,0,0.0141492669335177,0.00718470909349176,0.00451615211366497,0.0162169533628438,0,0.00292356709725813,0.00269881976280388,0.00327523443544773,0.00332299581452847,0.0103582244085486,0.00072132038687205,0.0179031313590624,0.00883201726384483,0.00416370388944396,0,0.00526207720185631,0.0114672219809154,0.0172685286458409,0.000881282296859185,0,0.0134282113106387,0.0101765140691129,0.00189960241360138,0.00444137728171146,0.00221129902751864,0,0.719354844119041,0.806568858867733
10021_21,0.016498672966518,0.0845160779837055,0.0389713346908012,0,0,0.00472964071315403,0.113986805526896,0.0326727756568408,0,0,0,0.0126767201198364,0.000270665183669401,0.0652611097085338,0,0.00155393731142943,0,0.0479878071067656,0.00324734688958016,0.0161634981047231,0,0.15045074625715,0,0,0,0.0117278150919777,0.00552210571705987,0.00328149340961149,0,0.0109832474678934,0.0210938674009451,0.0455251987414189,0,0.0179645581383741,0,0.0099352035470438,0.012382443015252,0.00366094940900924,0.0061194964100967,0,0.00951601798921583,0,0.0208463074090254,0,0.00129080667971958,0.0318434106642847,0.0118929615510124,0.00575297343082543,0.0119703975450822,0,0.0138416695973992,0.00308078233408921,0.00350433963858089,0.020166708910891,0,0.0057417728219483,0.00485733825987623,0.000249582178703844,0.00176295812771871,0.00060089693136937,0.00637610262243844,0.0226539734682016,0.0232661844027723,0.00155205468110482,0,0.00419198145114714,0.00292507346148176,0.0130623703050784,0,0,0.0282498743279124,0.0104778908363997,0.000607189319121352,0.000558912773184268,0.00197595171312882,0,0.676624844965826,0.821812701218668
10021_22,0.0155625131406951,0.089143028895308,0.0382372224209231,0,0,0,0.110840422133112,0.0123388135948965,0.00167713873465983,0,0,0.00803945875481319,0,0.0522121864412786,0,0.0119516479737366,0,0.0388621663818734,0,0.000750392695172337,0,0.123862215788191,0,0,0.00537744237516692,0.0108578565716637,0.0168918124418842,0.011856195380221,0,0.00952099411859321,0.0279722043451544,0.0389988620828846,0,0.0341402366078263,0.010736197836549,0.0119058745884952,0.00607875861268422,0.00386213510143251,0.0191024050692492,0,0.00793893061256001,0,0.00592385444939659,0,0,0.0587441520165266,0.00888607604558831,0,0.0160880186519263,0,0.0111313123799516,0.00742866441066624,0.011699096924831,0.0224242693869101,0,0,0.00413923746298653,0,0.00339818669684132,0.000343680549520345,0.00458779185213762,0.031627344130481,0.0160194415448272,0,0,0.00691930380259524,0.00419581307586998,0.014252816932083,0.0042548479895229,0,0.0207791379845652,0.0157852567845761,0.00666666931185381,0.00483875087508592,0.00114916404223367,0,0.780262746650854,0.779549371508544
10021_23,0.00762780783554565,0.0792677721007894,0.0488094936646361,0.00687381238102775,0,0,0.125195045845009,0.0137669501689859,0,0,0,0.00966396072504238,0,0.0453356350915133,0,0.0078049386903178,0,0.0415916838094738,0,0.00551041153754831,0,0.0880856445777954,0,0,0.00183267320847371,0.0234109067288343,0.0155143935246757,0.0238845820118772,0,0.00602981718375291,0.0268132660123242,0.0336712961659047,0,0.0205680312678443,0.0111845566166392,0.0128601411135523,0.0179677701053628,0.00558161430188392,0.0126290050625951,0,0.00611053187165106,0,0.0202893258503571,0,0,0.0618390944325166,0.0137455606673075,0,0.00918408051996689,0,0.0149580993736832,0.0085347776609118,0.00962084609961948,0.0174989145040621,0,0,0.00976758642659001,0,0,0.00453678368770273,0.00408215089921855,0.0240942870439162,0.0207230265764835,0.00172193646473391,0,0.00524766226352018,0,0.0140540154632424,0.00916220682629925,0,0.0160349083677635,0.0132534339710235,0.0114881880528698,0.00867952306224224,0.00389185018291334,0,0.793945213055066,0.772247570137476
10021_24,0.00857487043995595,0.114140750634608,0.0101077228516184,0.0157215599013356,0,0,0.109348153087161,0,0,0,0,0.00310993063301584,0,0.047580258337101,0.000677605985628355,0.000822506917230407,0.00413914314072761,0.0438409496444591,0,0,0,0.0828417707325835,0,0,0.00250731207755755,0.0540478136993764,0.0790810171440876,0,0,0.00957932847355035,0.0253896326774854,0.0385918663802996,0.00376726916796855,0.0360257362312498,0.014788549227309,0.00590467685932715,0,0.00597875003472647,0.00958414672701461,0,0.000360502634551483,0.00107195614084576,0.0177487636673676,0,0.00559366951231169,0.0241354496942159,0.00371048857655029,0,0.0106102408381075,0,0.0156878207600404,0.00150031167413846,0,0.0121603993399614,0,0.00988146051390144,0.0185341072006191,0,0.00863694917277996,0.0146069268372511,0.00285904628872629,0.0222128302587889,0.0269017737825387,0.00844763242863164,0,0.00863706852158099,0.000989343810437562,0.0239371725120525,0.00297572283173178,0,0.0170977145887636,0.0142699693240302,0.000961718084932812,0.00031963999976508,0,0,0.750325576996921,0.798458883019738
10021_525,0.0128422771156115,0.116572370018886,0,0.0315418092131205,0,0,0.123230658856809,0.00216642045038154,0,0,0,0.0138500583717043,0,0.0410344069948702,0.00776618789921558,0.000128681910101131,0.00185548468145169,0.010181952913933,0.00183032421855871,0.00536887433792126,0,0.0474390005156923,0,0,0,0.0738955026871381,0.116903478673139,0,0.00134955560758017,0.0041274449339395,0.0334115276148209,0.035028951411191,0,0.0436502384042378,0.0261661480271482,0.00652129973796838,0.0016534145456531,0.0115649745542342,0.0135715617618946,0,0.00295198635047794,0.000338256593069026,0.00391549661992804,0.00955639906538649,0.00566735371406921,0.016667010770798,0.00999945779297805,0,0.0117647796510264,0,0.000608779027055757,0.00496293977199894,0,0.0143018448741974,0,0.00301181417297154,0.0219358984477017,0,0.00922423340441047,0.0151488685122715,0.00170973431368437,0.0152749265963886,0.0178295899381894,0.0110203046534335,0,0.0028642221979831,0.00370304274332078,0.0221439186908821,0,0,0.00341844435624624,0.00644130289881308,0.0018867893855169,0,0,0,0.783674523690412,0.786532813962867
10021_526,0.0164934602673851,0.0974242479992807,0.0375603294729566,0.0192607832363218,0,0,0.113646390793406,0.00307988148055265,0,0,0,8.22070455334025e-05,0,0.0576442356060099,0.00193366520374682,0.00524404368948055,0,0.0306189938422331,0.00832621306555777,0,0,0.0408318459811183,0.00342208235684627,0,0,0.0350865892544503,0.0370365146702051,0.0001058328979497,0,0.0179950415949601,0.0130350467290956,0.0319745148889309,0.0103034457394788,0.0391980325382498,0.0161365694893088,0.012283768154959,0.00479564057196216,0,0.0179246376124574,0,0.0201287800357638,0.0142249856599238,0.0101222285094802,0,0.00272100176847988,0.0646174463706078,0.0104549508104964,0.000806366823435601,0.0154565692245187,0,0.00435538016240645,0.00678605841102592,0.00376515239365776,0.00767849210026299,0,0,0.0145624922411558,0.00114584955125855,0.0100098223141047,0,0.00846374569993724,0.0111036069323636,0.0218317402458217,0.00707757244114542,0,0.00259924056222963,0,0.0222333160036452,0.00962176808949882,0.00525888906778129,0.00930795243805495,0.0060791744359822,0.0270233173634264,0.011120086161098,0,0,0.866325370197533,0.736669067656128
10021_527,0.0207902752553862,0.140703051533481,0.0618119027548919,0,0,0,0.0955627428488121,0.0110543082265551,0,0,0,0.0125686977025346,0,0.0603351553139472,0,0.00615199980711424,0.000650250714564334,0.0349596687728069,0.00349076471753323,0.0437817066671915,0,0.0767025000927783,0,0,0,0.0274265473429123,0.0460666371358479,0,0,0.0162759085772306,0.0124569574135981,0.0388032745375007,0.00105692151265134,0.0187247094790809,0.0047276208089457,0.00992995615211314,0,0.00559673349880117,0.00355350057411536,0,0.00720558488393051,0.000428469394806351,0.0141361632270423,0.00432486598514309,0.00783001103227419,0.0253413295848012,0.00299002475180101,0,0.01458639910688,0,0.0112438125165108,0.000582069778913336,0.00729624249650492,0.0153243836887918,0,6.53022708801056e-05,0.0118491574778111,0,0,0.0077139517946585,0.0023361722229761,0.0229089746729668,0.00892191886811989,0.00752248860287174,0,0.00582752134385204,0.0130165863680105,0.0222922514052737,0,0,0.0145548742547348,0.00778656325896288,0.00163643729365821,0.0090966522774299,0,0,0.851771447884838,0.755784789788478
10021_528,0.0083357397270384,0.1517200185843,0.0594966504404974,0,0,0,0.0872088287314897,0,0,0,0,0.0189363447884053,0,0.0757013981152762,0,0.00866320449308637,0,0.0266899458995929,0.00459293852502853,0.0142455602953278,0,0.0758965605064797,0.00260894383848021,0,0,0.0231473420733771,0.0631735426785438,0,0,0.00901949688775425,0.0196268737766229,0.0355382669610303,0.0076051320302193,0.02734018189777,0.0136175630685111,0.0121483367013544,0.000231133772147257,0.00826050929827049,0.00640726401405894,0,0.0116911536239482,0.00110583620674645,0.0208884426891787,0.0013495985525898,0.00143881767788178,0.0297683755673334,0.000718368157713901,0.00186567859054779,0.0160481622218786,0,0.00806024729819277,0,0.00658956675883002,0.0221457096263399,0,0,0.00672861737000799,0.000645067346362189,0,0.00991251449252627,0,0.0196468112855059,0.00672762580774862,0.00411636893255464,0,0.00424098269588798,0.0158838012188332,0.0132858073419676,0.00408262324060002,0,0.0127258166488518,0.00945391130939547,0.00287549290086674,0.0038439306689919,0.00394889466405567,0,0.847323165761581,0.761100596735432
10021_529,0.00325113323824797,0.0992398068033913,0.0180544239840073,0.0075880618848161,0.00513612894351459,0,0.0685796446595612,0.00271155180412535,0.000816711717573887,0,0,0.0100587878248016,0,0.0553417375496087,0.00780623274614029,0.00105545334546306,0,0.0302733297633211,0.00983374012854621,0.0381097441314879,0,0.0770654046781663,0.00436242179126915,0,0.0143012478616047,0.0334212449699563,0.0527582776476988,0,0.00504285250649795,0.00902373760133147,0.0453660211967676,0.0380437994804291,0.00708600606093462,0.0189913032981828,0.00877106424282655,0.0121728829176121,0.0131386009191164,0.0150135244581687,0,0,0.0144462666831915,0.0196522296288511,0.0269616445978415,0.00194869786004015,0.00577548147030559,0.0343278476092362,0.000632895380736533,0.00297220086914314,0.011350887435372,0,0.0117341803362993,0.00403670074115273,0.00464080866179062,0.0125147895576577,0,0,0.013486315311986,0.000872289411772951,0.00649117439324355,0.00973653826328056,0,0.0103440540500045,0.0126211753622237,0.00937850184303617,0,0.00141498683019475,0.0107535273541448,0.0180960006776543,0.00901507108939411,0.00303387607203608,0.013663478117767,0.00608029993603029,0.00787780753826929,0.00372539476217469,0,0,0.876619766022265,0.74432431459086
