Mixture,Exc_L2_LAMP5_LTK,Exc_L5-6_FEZF2_ABO,Exc_L3-5_RORB_ESR1,Exc_L4-5_RORB_FOLH1B,Inh_L4-5_PVALB_MEPE,Oligo_L1-6_OPALIN,Exc_L5-6_RORB_TTC12,Exc_L3-5_RORB_FILIP1L,Astro_L1-6_FGFR3_SLC14A1,Inh_L5-6_PVALB_LGR5,Inh_L4-6_SST_B3GAT2,no_class,Exc_L5-6_SLC17A7_IL15,Inh_L1-3_SST_CALB1,Exc_L4-6_RORB_SEMA3E,Exc_L2-3_LINC00507_FREM3,Inh_L1-4_LAMP5_LCP2,Inh_L4-6_PVALB_SULF1,Inh_L1-2_VIP_LBH,Exc_L5-6_THEMIS_FGF10,Inh_L1-3_VIP_ADAMTSL1,Inh_L1-3_VIP_CHRM2,Exc_L5-6_THEMIS_C1QL3,Inh_L1-2_SST_BAGE2,Inh_L5-6_SST_KLHDC8A,Inh_L2-4_PVALB_WFDC2,Inh_L1_SST_NMBR,Exc_L5-6_FEZF2_EFTUD1P1,Inh_L3-6_VIP_HS3ST3A1,Inh_L2-4_SST_FRZB,Exc_L4-5_RORB_DAPK2,Inh_L1-2_PAX6_TNFAIP8L3,Inh_L3-5_SST_ADGRG6,Inh_L2-5_VIP_SERPINF1,Exc_L4-6_RORB_C1R,Exc_L3-4_RORB_CARM1P1,Inh_L1_SST_CHRNA4,Inh_L2-4_VIP_SPAG17,Exc_L3-5_RORB_COL22A1,Inh_L2-5_VIP_TYR,Inh_L4-5_SST_STK32A,Micro_L1-3_TYROBP,Exc_L6_FEZF2_OR2T8,Inh_L1-2_PAX6_CDH12,OPC_L1-6_PDGFRA,Inh_L2-6_LAMP5_CA1,Inh_L1-3_PAX6_SYT6,Exc_L3-5_RORB_TWIST2,Inh_L1-3_VIP_CCDC184,Astro_L1-2_FGFR3_GFAP,Exc_L5-6_THEMIS_CRABP1,Inh_L5-6_SST_NPM1P10,Inh_L1-2_LAMP5_DBP,Inh_L5-6_SST_MIR548F2,Inh_L4-6_SST_GXYLT2,Endo_L2-6_NOSTRIN,Exc_L6_FEZF2_SCUBE1,Inh_L2-5_PVALB_SCUBE3,Exc_L2-4_LINC00507_GLP2R,Exc_L4-6_FEZF2_IL26,Inh_L2-6_VIP_QPCT,Inh_L3-6_SST_HPGD,Inh_L2-4_VIP_CBLN1,Inh_L1-2_GAD1_MC4R,Inh_L3-6_SST_NPY,Inh_L1-2_VIP_PCDH20,Inh_L1-4_VIP_CHRNA6,Exc_L5-6_THEMIS_DCSTAMP,Inh_L1-4_VIP_OPRM1,Exc_L4-5_FEZF2_SCN4B,Inh_L5-6_GAD1_GLP1R,Inh_L5-6_SST_TH,Inh_L2-3_VIP_CASC6,Inh_L1-3_VIP_GGH,Inh_L1-2_VIP_TSPAN12,Inh_L1-4_VIP_PENK,P-value,Correlation,RMSE
10021_20,0,0.0414432293522056,0,0.0729486039727545,0.026051751518336,0,0.00212950761214495,0,0.00569657430279182,0,0,0.0582102113451076,0.0162329630240719,0.00279274674091056,0,0.186000090117513,0.0140098475872909,0.0086959133979594,0.0111483004351362,0.0319390118498524,0,0,0.0580479373936818,0,0,0,0,0.012632939832677,0.0136368805812268,0.00483375908372754,0,0.0193844637805656,0.00127581842979721,0.00605695431615116,0.027268929878892,0.0371565614610572,0,0.0142435414248486,0.0253950422453522,0.0182617601113419,0,0.00237752476966484,0.0232888125558807,0,0,0.00658401430111881,0.0149058871367074,0,0.0216248477252904,0,0,0.0207423849804309,0.012224102961853,0,0,0.00177066410941864,0.0095413245163384,0,0,0.00336234712758614,0.0122101196510218,0.0340897779702209,0.0166580623054538,0,0.00403097488770276,0.00539461109621721,0,0.00965185621773556,0,0.0551540750386867,0.00368202437644714,0,0,0.0130739846103412,0.00855704406677858,0.00558221979971114,0,0.726104847490787,0.788144764816585
10021_21,0,0.0300449155045596,0,0.0814837709192383,0.0201270240703313,0,0,0,0.00336679092726188,0.00455623710869151,0,0.0725828188712139,0.00285115584261385,0.00632942673026749,0,0.118152538406292,0.0273381387815218,0,0.0140464442466987,0.0388195268311591,0,0,0.117516409404872,0,0,0,0,0.0290300485484068,0.0108635390269787,0.00752124896158006,0,0.0136005966575633,0.0078487913873917,0.00509986369151802,0.0426930316640456,0.0336436910518889,0,0.0147597647640843,0,0.0134355809979522,0,0.00015309916169836,0.0278690603829694,0.0154768002496426,0,0,0.0230508195851851,0,0.0207249081083738,0,0.0117438568344493,0.0150223229537186,0.0115296235607579,0,0,0.0010368918577598,0.0109745727730298,0.00147802775556675,0.00573741966180067,0.0149912056834595,0.00836697886723176,0.029746941839191,0.0159310843925056,0,0.00237442841952433,0,0,0.00807771151380908,0,0.0358386612245166,0.0079085555938309,6.13939636204479e-05,0.00838956067226076,0,0.00590501802791122,0.00189970252105605,0,0.682498916980268,0.805494812597291
10021_22,0,0.0191396133919912,0,0.0811803226159007,0.0251333421956595,0,0,0,0.00498811851229281,0,0,0.0606916362922709,0.00619663554135802,0,0,0.133780273165308,0.0138036962810725,0,0.016200665106683,0.0382540710873603,0,0.00422020535316593,0.129750748131039,0,0.00801553780192838,0.000189581528547572,0,0.0388238065311315,0.0134689915597013,0.0184457305284935,0,0.0139422591878097,0.00363976470801297,0.00758389102478626,0.0339658523686814,0.0313245235365222,0,0.0170236075314618,0.0108526730156954,0.0116744309627636,0,0,0.0328971841001656,0.0108366973838383,0,0.00538818133574355,0.0178211316624981,0,0.0174883284179726,0,0,0.0214687052939683,0.0084659632824637,0.000690356720067375,0.000917713287895005,0,0.00683502989974643,0.00204012688866548,0,0.0156353750623721,0.00445536035716443,0.0319614590112601,0.0178730279985881,0,0.00984585704879464,0,0,0.00357172773825273,0,0.0178363522113559,0.0053796613371944,0,0.00543585257098217,0,0.0159568868191069,0.00490904361226685,0,0.781588152773828,0.76180714281983
10021_23,0.00782054478565742,0.0106435424632509,0,0.0587447311347996,0.0267892315391134,0,0,0,0.0063198911956351,0,0,0.0611660882686469,0.0022219625257154,0,0,0.131576977365651,0.0125999623190214,0,0.0144211106571931,0.0297532335764604,0,0,0.120022478810817,0,0.0134930738390888,0,0,0.0372273925175215,0.0132054438101559,0.0228037852780523,0,0.00752117037837061,0.00790414785999435,0.00939659475174271,0.0533640844200124,0.0354036175706978,0,0.0192838102692987,0.0156690235423578,0.0145026866181034,0,0,0.0271408256920108,0.0105720476535472,0,0,0.015881810825252,0,0.0174948017809893,0.00225090997506169,0.00800290333388043,0.00974526923346908,0.00966003519944777,0,0,0,0.0179859510183683,0,0,0.0230825302049175,0.00220578326368922,0.0441066387724216,0.0154429566265713,0,0.0160497883024712,0,0,0,0,0.00821725520423557,0.00949332619042767,0.00430315127483732,0.00512614530547659,0.00545405317423074,0.0121745813357404,0.00375465013559559,0,0.789684285786766,0.759679886451269
10021_24,0.0500661744062858,0.00677402165343811,0,0.0572446153949567,0.0204848201867326,0,0,0,0.00493410846661053,0.00109444186698022,0,0.091002577085332,0.0228360206230603,0,0,0.16392477679647,0,0.00598896260177332,0.0131383033649345,0.0176505726002225,0,0.00403945752537592,0.0873823007296635,0.00966615686982335,0.0154080076770602,0,0,0.0372862941117517,0.0254470279573186,0.0104644319502529,0,0.0150774084544366,0,0.0202082709684215,0.070251049255202,0,0,0.0135473692169102,0.00870585019789274,0.0237799223802317,0,0,0.0216047762153996,0,0,0.0100619977089931,0.00388061015493438,0.00576372556613842,0.0171593926742014,0,0,0.006845139471872,0.0156345568873586,0.00178057107907358,0.00447865008526575,0,0.0188036447730289,0.00102923535323822,0,0.0248658837129252,0.00142237087347056,0.0283937960061134,0.00625113058787927,0,0.00146669208678594,0,0,0,0,0.00437506489474988,0.00925339980458825,0.00290517657761101,0,0.00779616943846487,0.00982507370677,0,0,0.743248861565888,0.78254650932141
10021_525,0.0429675286775123,0.0165934528827449,0,0.0207818275963289,0.00405406012777868,0,0,0,0.00335246748445367,0.0010071176088128,0,0.112326827243304,0.00883301978241025,0,0,0.210172624328536,0,0.00366739462128199,0.0024429190886089,0.0037043618381073,0.012301619078759,0.0131924050951303,0.129678680148916,0.0109827986572914,0.00414032412383311,0,0,0.0226378835554448,0.0194369094055172,0.00975256974446714,0,0.00689733031586317,0,0.0125704443728185,0.0517402281310802,0,0,0.0143878461825407,0.0228615183193349,0.0136223055012596,0,0,0.0183177424607071,0.00441206361091697,0,0.00839215122325843,0,0,0.0137590396590668,0,0.0144447118807052,0.0143087327558959,0.0111688087081586,0.00723916851610534,0.0104333738869938,0,0.0151757460805472,0.00807544791082674,0,0.029636565720766,0.00243996764792207,0.0218543719880029,0.00309124291473604,0,0.00290675110760713,0,0,0,0,0.0148393969838512,0.00769885620767343,0.00299972723185024,0,0,0.010178169231004,0.0045215003612693,0,0.782503467161827,0.767908701786095
10021_526,0.000547275470022684,0,0,0.00687493404549869,0,0,0.00238741989557983,0,0.00969466588270143,0,0.00544255492815387,0.0808152868244903,0.0110804961872826,0,0,0.165840128396921,0.00506718742341725,0.0146667636099517,0.0021337093958175,0.0238691076472987,0,0.00915846215863964,0.113402570023964,0,0.00940998767571479,0,0,0.0268937826290633,0.019693866031957,0.0140705564179195,0,0.0028135721891176,0,0.0102633203863987,0.0586674934717015,0.0398630684604305,0,0.0230371474588444,0.0322714269962683,0.00719463793696662,0,0.00118953338877548,0.0242157033956063,0.0177338350146179,0.0035682713287049,0.00246437548080439,0.00470661894062911,0,0.0133649044148719,0.00594125163696309,0.0123231740315759,0.0304914831598115,0.0123145565864653,0,0,0,0.00765551518699981,0.00452843666496647,0,0.00998065457335236,0.00599056470116588,0.0438387420242271,0.0162376445690715,0,0.0351563672896061,0.00230530942258708,0,0,0,0.00914472956536604,0.0101862523374335,0.00436599357432955,0,0.00131279189043322,0.0193505242988564,0.00647334497865762,0,0.856898323690522,0.724704445754192
10021_527,0,0.0454781574554597,0,0.0311436569866975,0.0147155834260528,0,0,0,0.00618700963158407,0,0,0.0786729568527906,0.000580446126191378,0.00133719981937567,0,0.202372573978873,0.018698721847501,0.00388373805023814,0.0143226293120395,0.0295868848712221,0.00284570728260194,0.00774187198472749,0.11094965058113,0,0,0,0,0.0163790596876289,0.0111921891145342,0.00847879671090519,0.00774211872483317,0.00902776464957739,0,0,0.0499638183052501,0.0161247746109156,0,0.0166934120857233,0.0265884917397762,0.0174009934940008,0,0,0.0309546847219711,0.0124064408714311,0.000375245910274313,0,0.00576019732567138,0,0.0162761024554862,0,0,0.0228035776189142,0.0121188818982216,0,0.00119161808870552,0,0.010127709853674,0.00614949972395752,0.000369550235932384,0.00858985830631675,0.00646868968977727,0.025225196918477,0.0140699681309641,0,0.00299668829910742,0.000579170057134069,0,0,0,0.04441469047592,0.00656350361908806,0.00289557110398295,0,0.00434897469405924,0.0154379137473924,0.00176805892391191,0,0.851098471704904,0.732783731288594
10021_528,0.00613103538227342,0.0150367248974573,0,0.0409844554854543,0.019108070118084,0,0,0,0.0107209640792932,0.00090889263982692,0,0.0679179228554173,0.0111635132432214,0,0,0.208080625081025,0.0199914335404606,0,0.00796721684549754,0.0259818690934314,0,0.00285555797619725,0.123336393647589,0,0.00275656067790009,0,0,0.0270354262171838,0.0137650844576122,0.0139830315639801,0,0.0098846952973711,0,0.00373919297859042,0.038995174879402,0.0116091396482914,0,0.0164182225473888,0.028984253096453,0.0136159826453236,0,0.000950105915815482,0.027476643902506,0.0117458362724123,0.00237874206427126,0.00727382367614071,0.00299940921755941,0,0.0148320776682468,0,0,0.0211920754516648,0.0106967536805115,0,1.43425694954257e-05,0,0.00661709224988268,0,0,0.01739050303537,0.00733950273278226,0.026204244316506,0.0165323349926222,0,0.00444798396534677,0,0,0,0,0.0444976588415513,0.00668932030865908,0.00718153290127075,0,0.0049925607541606,0.0125818067748433,0.00499420981365611,0,0.837823029845341,0.742131888075393
10021_529,0.0287977028855228,0.025175418554943,0,0.0237660724314741,0.0181992293902888,0,0.00632103116906467,0,0.00723557262998441,0.00591299981135061,0.00228358697140416,0.058145302276254,0.00845805937373176,0.00316631086232252,0,0.141017880622442,0,0.0162341004228081,0.00865273159984754,0.0163176674748611,0,0.0105482362721942,0.0917954065555404,0,0,0,0.00639115422142326,0.0262883765447594,0.000576931464482485,0.0146735335247154,0,0.0145423212087904,0.00874909389684698,0.00982778055112578,0.04676103989075,0.00109957734080666,0.00121009046820112,0.015922843167824,0.0267227707865944,0.0151315097433012,0.00244676741680245,0.000599659663896301,0.0272301016059452,0.0144390371855507,0.00242720242534198,0.00835335510668536,0.00179251732701475,0,0.0188828662789172,0.00429639704477525,0.0236203834440323,0.0129274726001408,0.0103791916710999,0,0.00562676451430859,0,0.0152481688777015,0,0,0.0485679549683009,0.00890507634377615,0.030622406800049,0.00314898785341754,0,0.012184247720796,0.00373466156510095,0,0,0.00248055237792206,0.054149102992454,0.00875172700841488,0.000492733423550444,0,0.00500875715406311,0.0107965580938655,0.00296301642242165,0,0.871699185702513,0.725042430724868
