,probe_ind,ant-post,step,gene_symbol
0,12941,posterior,1,GAL
1,47792,posterior,1,A_24_P102119
2,8962,posterior,1,ONECUT2
3,26238,posterior,1,PDLIM5
4,343,posterior,1,COL5A2
5,29726,posterior,1,KDELR3
6,16379,posterior,1,GREM2
7,12942,posterior,1,GAL
8,17821,posterior,1,HPSE2
9,44164,posterior,1,DDC
10,37982,posterior,1,CTXN3
11,22547,posterior,1,FAM43B
12,48072,posterior,1,A_24_P62668
13,5008,posterior,1,PVALB
14,45127,posterior,1,DDC
15,426,posterior,1,CASR
16,17772,posterior,1,WNT10A
17,345,posterior,1,COL5A2
18,43717,posterior,1,DDC
19,42532,posterior,1,DDC
20,17820,posterior,1,HPSE2
21,6581,posterior,1,TTR
22,29383,posterior,1,FSTL4
23,30221,posterior,1,TNNT2
24,57744,posterior,1,A_32_P121537
25,57136,posterior,1,A_24_P401842
26,43592,posterior,1,DDC
27,8129,posterior,1,DGKI
28,39409,posterior,1,C1orf133
29,29384,posterior,1,FSTL4
30,43820,posterior,1,RP11-291L15.2
31,344,posterior,1,COL5A2
32,8963,posterior,1,ONECUT2
33,8893,posterior,1,NTN1
34,27030,posterior,1,OSBPL3
35,46463,posterior,1,TPBG
36,14183,posterior,1,BNC2
37,44201,posterior,1,BDKRB1
38,16217,posterior,1,RGMA
39,17633,posterior,1,GRHL2
40,38407,posterior,1,RP11-561O23.6
41,16390,posterior,1,HHIP
42,16389,posterior,1,HHIP
43,8892,posterior,1,NTN1
44,15982,posterior,1,SERTAD4
45,44200,posterior,1,BDKRB1
46,51664,posterior,1,A_32_P11262
47,6582,posterior,1,TTR
48,32888,posterior,1,NPNT
49,32889,posterior,1,NPNT
50,4418,anterior,1,SERPINF1
51,4417,anterior,1,SERPINF1
52,25772,anterior,1,KLK7
53,23274,anterior,1,RSPH9
54,25771,anterior,1,KLK7
55,20529,anterior,1,LYPD1
56,15471,anterior,1,GABRQ
57,24685,anterior,1,PYDC1
58,14245,anterior,1,SYTL2
59,22478,anterior,1,RP13-102H20.1
60,14246,anterior,1,SYTL2
61,6189,anterior,1,SSTR1
62,15812,anterior,1,LXN
63,25455,anterior,1,TMEM215
64,14244,anterior,1,SYTL2
65,28521,anterior,1,C1QL1
66,43970,anterior,1,PIRT
67,2781,anterior,1,KCNG1
68,44735,anterior,1,AQP3
69,51984,anterior,1,A_23_P213527
70,27224,anterior,1,RP11-45B20.3
71,53734,anterior,1,C1orf187
72,1954,anterior,1,GPR39
73,33414,anterior,1,OPRK1
74,37571,anterior,1,CD36
75,44435,anterior,1,AQP3
76,25770,anterior,1,KLK7
77,3668,anterior,1,MYB
78,1939,anterior,1,GPR26
79,3225,anterior,1,LMO1
80,14382,anterior,1,GPR88
81,25103,anterior,1,VGLL3
82,40112,anterior,1,NR2F2
83,40987,anterior,1,NR2F2
84,35503,anterior,1,NR2F2
85,10214,anterior,1,GPR83
86,8691,anterior,1,GDA
87,25592,anterior,1,NRG1
88,24482,anterior,1,RSPO2
89,51369,anterior,1,A_32_P136776
90,11603,anterior,1,C20orf103
91,19989,anterior,1,SYTL1
92,3182,anterior,1,LGALS2
93,15811,anterior,1,LXN
94,1940,anterior,1,GPR26
95,40910,anterior,1,KIAA1772
96,54487,anterior,1,A_32_P115840
97,8692,anterior,1,GDA
98,23551,anterior,1,SEMA3D
99,35522,anterior,1,NRG1
100,28965,posterior,1,GEFT
101,5000,posterior,2,PTX3
102,43407,posterior,2,GABRA1
103,17389,posterior,2,PDCD6
104,53319,posterior,2,KIAA1456
105,50057,posterior,2,A_24_P930963
106,57174,posterior,2,A_24_P365129
107,46730,posterior,2,HTR2C
108,27485,posterior,2,TAC1
109,33951,posterior,2,NCALD
110,22417,posterior,2,C8orf84
111,58643,posterior,2,A_24_P710171
112,23987,posterior,2,RUFY4
113,57712,posterior,2,A_32_P100771
114,17388,posterior,2,PDCD6
115,15383,posterior,2,HR
116,43260,posterior,2,DDC
117,47141,posterior,2,TNNT2
118,43831,posterior,2,DDC
119,27484,posterior,2,TAC1
120,47238,posterior,2,CUST_166_PI417507815
121,26237,posterior,2,PDLIM5
122,42992,posterior,2,GNG4
123,14275,posterior,2,EPS8L1
124,29228,posterior,2,GRIK1
125,47338,posterior,2,A_32_P129265
126,43885,posterior,2,ELN
127,45890,posterior,2,GRIK1
128,47902,posterior,2,A_32_P71744
129,51489,posterior,2,A_32_P405010
130,8964,posterior,2,ONECUT2
131,16380,posterior,2,GREM2
132,22534,posterior,2,IL28RA
133,58548,posterior,2,A_32_P497742
134,47036,posterior,2,CHRNA1
135,16378,posterior,2,GREM2
136,57805,posterior,2,A_32_P64286
137,52806,posterior,2,A_32_P217543
138,45887,posterior,2,GRIK1
139,12940,posterior,2,GAL
140,44746,posterior,2,LINC00552
141,29844,posterior,2,KCTD16
142,2504,posterior,2,HDC
143,15902,posterior,2,PCDHGA1
144,15981,posterior,2,SERTAD4
145,5009,posterior,2,PVALB
146,56821,posterior,2,A_32_P51005
147,14181,posterior,2,BNC2
148,2864,posterior,2,KLK1
149,8056,posterior,2,STC2
150,28306,anterior,2,PTGER3
151,35379,anterior,2,KIAA1772
152,42730,anterior,2,NRG1
153,10216,anterior,2,GPR83
154,4984,anterior,2,PTPRG
155,11605,anterior,2,C20orf103
156,47041,anterior,2,CHRNA3
157,42596,anterior,2,CD36
158,23817,anterior,2,ATOH7
159,35520,anterior,2,NRG1
160,56375,anterior,2,PTGES
161,11604,anterior,2,C20orf103
162,39129,anterior,2,LINC00238
163,40650,anterior,2,MALL
164,8442,anterior,2,SLIT2
165,44179,anterior,2,PLAC2
166,22938,anterior,2,DNAH12
167,36265,anterior,2,TOX3
168,15673,anterior,2,KCNK12
169,6779,anterior,2,TG
170,23553,anterior,2,SEMA3D
171,6728,anterior,2,TDO2
172,44020,anterior,2,LOC100129291
173,35456,anterior,2,FAM148C
174,56215,anterior,2,A_24_P925505
175,23275,anterior,2,RSPH9
176,22838,anterior,2,PRSS23
177,12160,anterior,2,PCOLCE2
178,46148,anterior,2,FAM150B
179,47032,anterior,2,CHRM5
180,10215,anterior,2,GPR83
181,47645,anterior,2,A_24_P673968
182,42892,anterior,2,AC078937.4
183,3009,anterior,2,IGFBP5
184,46516,anterior,2,SLC18A2
185,8403,anterior,2,BAIAP3
186,25839,anterior,2,MYO16
187,4985,anterior,2,PTPRG
188,52671,anterior,2,A_32_P118657
189,7058,anterior,2,TNFRSF4
190,52672,anterior,2,A_32_P118657
191,26855,anterior,2,GHSR
192,3011,anterior,2,IGFBP6
193,51675,anterior,2,A_24_P331711
194,35035,anterior,2,ANKRD62
195,45706,anterior,2,HTR3A
196,49830,anterior,2,A_24_P50934
197,12512,anterior,2,SRPX2
198,50583,anterior,2,A_32_P218707
199,53387,anterior,2,A_23_P140654
200,40101,posterior,2,CCDC68
201,872,posterior,2,CRH
202,45884,posterior,2,GRIK1
203,12938,posterior,2,GAL
204,23052,posterior,2,DGKH
205,39906,posterior,2,GVINP1
206,2440,posterior,2,HTR2C
207,27481,posterior,2,TAC1
208,35384,posterior,2,UNC13C
209,29959,posterior,2,PDLIM7
210,49080,posterior,2,A_32_P93115
211,8130,posterior,2,DGKI
212,35111,posterior,2,WIPF3
213,27488,posterior,2,TAC1
214,17773,posterior,2,WNT10A
215,2455,posterior,2,HTR2C
216,27489,posterior,2,TAC1
217,18336,posterior,2,SEMA6D
218,31197,posterior,2,ENO3
219,6802,posterior,2,THBD
220,43234,posterior,2,GABRA1
