x,y,z,ind,surface
52,101,60,116,1.0
52,102,59,116,1.0
52,102,60,116,1.0
52,103,58,116,1.0
52,103,59,116,1.0
52,104,57,116,1.0
52,104,58,116,1.0
52,104,59,116,1.0
52,105,57,116,1.0
52,105,58,116,1.0
52,106,56,116,1.0
52,106,57,120,1.0
52,107,56,27,1.0
53,95,62,147,1.0
53,96,61,164,1.0
53,96,62,111,1.0
53,97,61,164,1.0
53,97,62,110,1.0
53,98,60,164,1.0
53,98,61,121,1.0
53,98,62,121,1.0
53,99,59,164,1.0
53,99,60,164,1.0
53,99,61,121,1.0
53,99,62,121,1.0
53,100,58,116,1.0
53,100,59,116,1.0
53,100,60,164,1.0
53,100,61,121,1.0
53,100,62,121,1.0
53,101,58,116,1.0
53,101,59,116,1.0
53,101,60,116,1.0
53,101,61,116,1.0
53,101,62,121,1.0
53,102,57,116,1.0
53,102,58,116,1.0
53,102,59,116,1.0
53,102,60,116,1.0
53,102,61,116,1.0
53,103,56,116,1.0
53,103,57,116,1.0
53,103,58,116,1.0
53,103,59,116,1.0
53,103,60,116,1.0
53,103,61,116,1.0
53,104,56,116,1.0
53,104,57,116,1.0
53,104,58,116,1.0
53,104,59,116,1.0
53,104,60,116,1.0
53,105,55,116,1.0
53,105,56,116,1.0
53,105,57,116,1.0
53,105,58,116,1.0
53,105,59,116,1.0
53,105,60,116,1.0
53,106,54,27,1.0
53,106,55,27,1.0
53,106,56,116,1.0
53,106,57,120,1.0
53,106,58,120,1.0
53,106,59,120,1.0
53,107,54,27,1.0
53,107,55,27,1.0
53,107,56,27,1.0
53,107,57,120,1.0
53,107,58,120,1.0
53,108,54,27,1.0
53,108,55,27,1.0
53,108,56,27,1.0
53,108,57,120,1.0
53,109,54,27,1.0
53,109,55,27,1.0
53,109,56,27,1.0
53,110,53,27,1.0
53,110,54,27,1.0
53,110,55,27,1.0
53,111,54,27,1.0
54,93,63,147,1.0
54,93,64,167,1.0
54,93,65,148,1.0
54,94,61,147,1.0
54,94,62,147,1.0
54,94,63,147,1.0
54,94,64,148,1.0
54,94,65,148,1.0
54,95,61,164,1.0
54,95,62,147,1.0
54,95,63,151,1.0
54,95,64,149,1.0
54,96,60,164,1.0
54,96,61,164,1.0
54,96,62,111,1.0
54,96,63,111,1.0
54,96,64,121,1.0
54,97,59,164,1.0
54,97,60,164,1.0
54,97,61,164,1.0
54,97,62,110,1.0
54,97,63,110,1.0
54,97,64,121,1.0
54,98,59,164,1.0
54,98,60,164,1.0
54,98,61,121,1.0
54,98,62,121,1.0
54,98,63,121,1.0
54,98,64,121,1.0
54,99,58,116,1.0
54,99,59,164,1.0
54,99,60,164,1.0
54,99,61,121,0.0
54,99,62,121,1.0
54,99,63,121,1.0
54,99,64,121,1.0
54,100,57,116,1.0
54,100,58,116,1.0
54,100,59,116,1.0
54,100,60,164,0.0
54,100,61,121,0.0
54,100,62,121,1.0
54,100,63,121,1.0
54,101,56,116,1.0
54,101,57,116,1.0
54,101,58,116,1.0
54,101,59,116,0.0
54,101,60,116,0.0
54,101,61,116,1.0
54,101,62,121,1.0
54,101,63,121,1.0
54,102,56,116,1.0
54,102,57,116,1.0
54,102,58,116,1.0
54,102,59,116,0.0
54,102,60,116,0.0
54,102,61,116,1.0
54,102,62,116,1.0
54,103,55,116,1.0
54,103,56,116,1.0
54,103,57,116,1.0
54,103,58,116,0.0
54,103,59,116,0.0
54,103,60,116,1.0
54,103,61,116,1.0
54,103,62,116,1.0
54,104,54,116,1.0
54,104,55,116,1.0
54,104,56,116,1.0
54,104,57,116,0.0
54,104,58,116,0.0
54,104,59,116,0.0
54,104,60,116,1.0
54,104,61,116,1.0
54,105,54,27,1.0
54,105,55,116,1.0
54,105,56,116,1.0
54,105,57,116,0.0
54,105,58,116,0.0
54,105,59,116,1.0
54,105,60,116,1.0
54,105,61,116,1.0
54,106,53,27,1.0
54,106,54,27,1.0
54,106,55,27,1.0
54,106,56,116,0.0
54,106,57,120,0.0
54,106,58,120,1.0
54,106,59,120,1.0
54,106,60,120,1.0
54,107,52,28,1.0
54,107,53,27,1.0
54,107,54,27,1.0
54,107,55,27,0.0
54,107,56,27,0.0
54,107,57,120,1.0
54,107,58,120,1.0
54,107,59,120,1.0
54,108,52,28,1.0
54,108,53,27,1.0
54,108,54,27,1.0
54,108,55,27,0.0
54,108,56,27,1.0
54,108,57,120,1.0
54,108,58,120,1.0
54,109,51,28,1.0
54,109,52,28,1.0
54,109,53,27,1.0
54,109,54,27,1.0
54,109,55,27,1.0
54,109,56,27,1.0
54,109,57,120,1.0
54,110,51,28,1.0
54,110,52,28,1.0
54,110,53,27,1.0
54,110,54,27,1.0
54,110,55,27,1.0
54,110,56,27,1.0
54,111,51,28,1.0
54,111,52,28,1.0
54,111,53,27,1.0
54,111,54,27,1.0
54,111,55,27,1.0
54,112,50,28,1.0
54,112,51,28,1.0
54,112,52,28,1.0
54,112,53,27,1.0
54,112,54,27,1.0
54,113,51,28,1.0
54,113,52,28,1.0
54,113,53,27,1.0
54,114,52,28,1.0
55,91,64,167,1.0
55,91,65,167,1.0
55,91,66,167,1.0
55,92,63,167,1.0
55,92,64,167,1.0
55,92,65,167,1.0
55,92,66,167,1.0
55,93,62,147,1.0
55,93,63,147,1.0
55,93,64,167,1.0
55,93,65,148,1.0
55,93,66,148,1.0
55,94,61,147,1.0
55,94,62,147,1.0
55,94,63,147,1.0
55,94,64,148,1.0
55,94,65,148,1.0
55,94,66,148,1.0
55,95,60,164,1.0
55,95,61,164,1.0
55,95,62,147,0.0
55,95,63,151,0.0
55,95,64,149,1.0
55,95,65,121,1.0
55,95,66,121,1.0
55,96,59,164,1.0
55,96,60,164,1.0
55,96,61,164,1.0
55,96,62,111,0.0
55,96,63,111,0.0
55,96,64,121,1.0
55,96,65,121,1.0
55,97,59,164,1.0
55,97,60,164,1.0
55,97,61,164,0.0
55,97,62,110,0.0
55,97,63,110,0.0
55,97,64,121,1.0
55,97,65,121,1.0
55,98,58,164,1.0
55,98,59,164,1.0
55,98,60,164,0.0
55,98,61,121,0.0
55,98,62,121,0.0
55,98,63,121,0.0
55,98,64,121,1.0
55,98,65,121,1.0
55,99,57,116,1.0
55,99,58,164,1.0
55,99,59,164,1.0
55,99,60,164,0.0
55,99,61,121,0.0
55,99,62,121,0.0
55,99,63,121,1.0
55,99,64,121,1.0
55,100,56,116,1.0
55,100,57,116,1.0
55,100,58,116,1.0
55,100,59,164,0.0
55,100,60,164,0.0
55,100,61,121,0.0
55,100,62,121,0.0
55,100,63,121,1.0
55,100,64,121,1.0
55,101,55,116,1.0
55,101,56,116,1.0
55,101,57,116,1.0
55,101,58,116,0.0
55,101,59,116,0.0
55,101,60,164,0.0
55,101,61,121,0.0
55,101,62,121,1.0
55,101,63,121,1.0
55,101,64,121,1.0
55,102,55,116,1.0
55,102,56,116,1.0
55,102,57,116,0.0
55,102,58,116,0.0
55,102,59,116,0.0
55,102,60,116,0.0
55,102,61,116,0.0
55,102,62,121,1.0
55,102,63,121,1.0
55,103,54,116,1.0
55,103,55,116,1.0
55,103,56,116,1.0
55,103,57,116,0.0
55,103,58,116,0.0
55,103,59,116,0.0
55,103,60,116,0.0
55,103,61,116,1.0
55,103,62,116,1.0
55,104,53,28,1.0
55,104,54,116,1.0
55,104,55,116,1.0
55,104,56,116,0.0
55,104,57,116,0.0
55,104,58,116,0.0
55,104,59,116,0.0
55,104,60,116,0.0
55,104,61,116,1.0
55,104,62,116,1.0
55,105,53,28,1.0
55,105,54,27,1.0
55,105,55,116,0.0
55,105,56,116,0.0
55,105,57,120,0.0
55,105,58,120,0.0
55,105,59,120,0.0
55,105,60,120,1.0
55,105,61,120,1.0
55,106,52,28,1.0
55,106,53,28,1.0
55,106,54,27,1.0
55,106,55,120,0.0
55,106,56,120,0.0
55,106,57,120,0.0
55,106,58,120,0.0
55,106,59,120,1.0
55,106,60,120,1.0
55,106,61,120,1.0
55,107,51,28,1.0
55,107,52,28,1.0
55,107,53,28,1.0
55,107,54,27,0.0
55,107,55,27,0.0
55,107,56,120,0.0
55,107,57,120,0.0
55,107,58,120,1.0
55,107,59,120,1.0
55,107,60,120,1.0
55,108,50,28,1.0
55,108,51,28,1.0
55,108,52,28,1.0
55,108,53,28,0.0
55,108,54,27,0.0
55,108,55,27,0.0
55,108,56,120,0.0
55,108,57,120,1.0
55,108,58,120,1.0
55,108,59,120,1.0
55,109,50,28,1.0
55,109,51,28,1.0
55,109,52,28,1.0
55,109,53,28,0.0
55,109,54,27,0.0
55,109,55,27,0.0
